exp-id,피쳐명,설명,used_in_ml,원천 데이터,계산 방식,데이터 타입,단위 (보류),time window,결측 처리,이상치 처리,누수 위험,품질 기준,사용 여부,비고,담당파트
ml-02,fanin__receiver__in__counterparty_amount__effective_n__w3d,수신 계좌의 과거 3d 금액 가중 effective fan-in,,,상대 계좌별 amount_received 합산 후 p_i 비중 기반 1/sum(p_i^2) 계산; current/same timestamp 제외,numeric,effective count,현재 거래 시점 이전 3d,총 금액 0 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,분모 0 처리 규칙 미정,ML
ml-02,fanin__receiver__in__counterparty_amount__top1_share__w3d,수신 계좌의 과거 3d 최대 상대 계좌 금액 비중,,,상대 계좌별 amount_received 합산 비중 중 최댓값 계산; current/same timestamp 제외,numeric,비율,현재 거래 시점 이전 3d,총 금액 0 또는 이력 없음은 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,effective fan-in과 중복성 점검 필요,ML
ml-02,fanin__receiver__in__counterparty__nunique__w7d,수신 계좌의 과거 7d 고유 상대 계좌 수,,,receiver_account_id별 현재 거래 시점 이전 7d 동안 고유 sender_account_id 수를 집계; current/same timestamp 제외,numeric / int,개,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-02 Stage 1 Fan-in 핵심 후보,ML
ml-02,fanin__receiver__in__tx_count__degree__w7d,수신 계좌의 과거 7d 거래 건수 기반 degree,,,receiver_account_id별 현재 거래 시점 이전 7d 동안 거래 건수를 집계; unique counterparty와 구분,numeric / int,회,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,Stage 0 count 피처와 중복성 점검 필요,ML
ml-02,fanin__receiver__in__counterparty_amount__effective_n__w7d,수신 계좌의 과거 7d 금액 가중 effective fan-in,,,상대 계좌별 amount_received 합산 후 p_i 비중 기반 1/sum(p_i^2) 계산; current/same timestamp 제외,numeric,effective count,현재 거래 시점 이전 7d,총 금액 0 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,분모 0 처리 규칙 미정,ML
ml-02,fanin__receiver__in__counterparty_amount__top1_share__w7d,수신 계좌의 과거 7d 최대 상대 계좌 금액 비중,,,상대 계좌별 amount_received 합산 비중 중 최댓값 계산; current/same timestamp 제외,numeric,비율,현재 거래 시점 이전 7d,총 금액 0 또는 이력 없음은 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,effective fan-in과 중복성 점검 필요,ML
ml-02,fanout__sender__out__counterparty__nunique__w1h,송신 계좌의 과거 1h 고유 상대 계좌 수,,,sender_account_id별 현재 거래 시점 이전 1h 동안 고유 receiver_account_id 수를 집계; current/same timestamp 제외,numeric / int,개,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-02 Stage 1 Fan-out 핵심 후보,ML
ml-02,fanout__sender__out__tx_count__degree__w1h,송신 계좌의 과거 1h 거래 건수 기반 degree,,,sender_account_id별 현재 거래 시점 이전 1h 동안 거래 건수를 집계; unique counterparty와 구분,numeric / int,회,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,Stage 0 count 피처와 중복성 점검 필요,ML
ml-02,fanout__sender__out__counterparty_amount__effective_n__w1h,송신 계좌의 과거 1h 금액 가중 effective fan-out,,,상대 계좌별 amount 합산 후 p_i 비중 기반 1/sum(p_i^2) 계산; current/same timestamp 제외,numeric,effective count,현재 거래 시점 이전 1h,총 금액 0 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,분모 0 처리 규칙 미정,ML
ml-02,fanout__sender__out__counterparty_amount__top1_share__w1h,송신 계좌의 과거 1h 최대 상대 계좌 금액 비중,,,상대 계좌별 amount 합산 비중 중 최댓값 계산; current/same timestamp 제외,numeric,비율,현재 거래 시점 이전 1h,총 금액 0 또는 이력 없음은 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,effective fan-out과 중복성 점검 필요,ML
ml-02,fanout__sender__out__counterparty__nunique__w6h,송신 계좌의 과거 6h 고유 상대 계좌 수,,,sender_account_id별 현재 거래 시점 이전 6h 동안 고유 receiver_account_id 수를 집계; current/same timestamp 제외,numeric / int,개,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-02 Stage 1 Fan-out 핵심 후보,ML
ml-02,fanout__sender__out__tx_count__degree__w6h,송신 계좌의 과거 6h 거래 건수 기반 degree,,,sender_account_id별 현재 거래 시점 이전 6h 동안 거래 건수를 집계; unique counterparty와 구분,numeric / int,회,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,Stage 0 count 피처와 중복성 점검 필요,ML
ml-02,fanout__sender__out__counterparty_amount__effective_n__w6h,송신 계좌의 과거 6h 금액 가중 effective fan-out,,,상대 계좌별 amount 합산 후 p_i 비중 기반 1/sum(p_i^2) 계산; current/same timestamp 제외,numeric,effective count,현재 거래 시점 이전 6h,총 금액 0 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,분모 0 처리 규칙 미정,ML
ml-02,fanout__sender__out__counterparty_amount__top1_share__w6h,송신 계좌의 과거 6h 최대 상대 계좌 금액 비중,,,상대 계좌별 amount 합산 비중 중 최댓값 계산; current/same timestamp 제외,numeric,비율,현재 거래 시점 이전 6h,총 금액 0 또는 이력 없음은 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,effective fan-out과 중복성 점검 필요,ML
ml-02,fanout__sender__out__counterparty__nunique__w1d,송신 계좌의 과거 1d 고유 상대 계좌 수,,,sender_account_id별 현재 거래 시점 이전 1d 동안 고유 receiver_account_id 수를 집계; current/same timestamp 제외,numeric / int,개,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-02 Stage 1 Fan-out 핵심 후보,ML
ml-02,fanout__sender__out__tx_count__degree__w1d,송신 계좌의 과거 1d 거래 건수 기반 degree,,,sender_account_id별 현재 거래 시점 이전 1d 동안 거래 건수를 집계; unique counterparty와 구분,numeric / int,회,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,Stage 0 count 피처와 중복성 점검 필요,ML
ml-02,fanout__sender__out__counterparty_amount__effective_n__w1d,송신 계좌의 과거 1d 금액 가중 effective fan-out,,,상대 계좌별 amount 합산 후 p_i 비중 기반 1/sum(p_i^2) 계산; current/same timestamp 제외,numeric,effective count,현재 거래 시점 이전 1d,총 금액 0 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,분모 0 처리 규칙 미정,ML
ml-02,fanout__sender__out__counterparty_amount__top1_share__w1d,송신 계좌의 과거 1d 최대 상대 계좌 금액 비중,,,상대 계좌별 amount 합산 비중 중 최댓값 계산; current/same timestamp 제외,numeric,비율,현재 거래 시점 이전 1d,총 금액 0 또는 이력 없음은 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,effective fan-out과 중복성 점검 필요,ML
ml-02,fanout__sender__out__counterparty__nunique__w3d,송신 계좌의 과거 3d 고유 상대 계좌 수,,,sender_account_id별 현재 거래 시점 이전 3d 동안 고유 receiver_account_id 수를 집계; current/same timestamp 제외,numeric / int,개,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-02 Stage 1 Fan-out 핵심 후보,ML
ml-02,fanout__sender__out__tx_count__degree__w3d,송신 계좌의 과거 3d 거래 건수 기반 degree,,,sender_account_id별 현재 거래 시점 이전 3d 동안 거래 건수를 집계; unique counterparty와 구분,numeric / int,회,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,Stage 0 count 피처와 중복성 점검 필요,ML
ml-02,fanout__sender__out__counterparty_amount__effective_n__w3d,송신 계좌의 과거 3d 금액 가중 effective fan-out,,,상대 계좌별 amount 합산 후 p_i 비중 기반 1/sum(p_i^2) 계산; current/same timestamp 제외,numeric,effective count,현재 거래 시점 이전 3d,총 금액 0 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,분모 0 처리 규칙 미정,ML
ml-02,fanout__sender__out__counterparty_amount__top1_share__w3d,송신 계좌의 과거 3d 최대 상대 계좌 금액 비중,,,상대 계좌별 amount 합산 비중 중 최댓값 계산; current/same timestamp 제외,numeric,비율,현재 거래 시점 이전 3d,총 금액 0 또는 이력 없음은 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,effective fan-out과 중복성 점검 필요,ML
ml-02,fanout__sender__out__counterparty__nunique__w7d,송신 계좌의 과거 7d 고유 상대 계좌 수,,,sender_account_id별 현재 거래 시점 이전 7d 동안 고유 receiver_account_id 수를 집계; current/same timestamp 제외,numeric / int,개,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-02 Stage 1 Fan-out 핵심 후보,ML
ml-02,fanout__sender__out__tx_count__degree__w7d,송신 계좌의 과거 7d 거래 건수 기반 degree,,,sender_account_id별 현재 거래 시점 이전 7d 동안 거래 건수를 집계; unique counterparty와 구분,numeric / int,회,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,Stage 0 count 피처와 중복성 점검 필요,ML
ml-02,fanout__sender__out__counterparty_amount__effective_n__w7d,송신 계좌의 과거 7d 금액 가중 effective fan-out,,,상대 계좌별 amount 합산 후 p_i 비중 기반 1/sum(p_i^2) 계산; current/same timestamp 제외,numeric,effective count,현재 거래 시점 이전 7d,총 금액 0 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,분모 0 처리 규칙 미정,ML
ml-02,fanout__sender__out__counterparty_amount__top1_share__w7d,송신 계좌의 과거 7d 최대 상대 계좌 금액 비중,,,상대 계좌별 amount 합산 비중 중 최댓값 계산; current/same timestamp 제외,numeric,비율,현재 거래 시점 이전 7d,총 금액 0 또는 이력 없음은 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,effective fan-out과 중복성 점검 필요,ML
ml-02,bankfan__sender__out__to_bank__nunique__w1d,송신 계좌의 고유 수취 은행 수 (1d),,,sender_account_id별 현재 거래 시점 이전 1d 동안 고유 To Bank 수를 집계; current/same timestamp 제외,numeric / int,개,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,은행 컬럼 신뢰성 및 계좌 fan 피처와 중복성 확인 필요,ML
ml-02,bankfan__sender__out__to_bank__nunique__w3d,송신 계좌의 고유 수취 은행 수 (3d),,,sender_account_id별 현재 거래 시점 이전 3d 동안 고유 To Bank 수를 집계; current/same timestamp 제외,numeric / int,개,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,은행 컬럼 신뢰성 및 계좌 fan 피처와 중복성 확인 필요,ML
ml-02,bankfan__sender__out__to_bank__nunique__w7d,송신 계좌의 고유 수취 은행 수 (7d),,,sender_account_id별 현재 거래 시점 이전 7d 동안 고유 To Bank 수를 집계; current/same timestamp 제외,numeric / int,개,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,은행 컬럼 신뢰성 및 계좌 fan 피처와 중복성 확인 필요,ML
ml-02,bankfan__receiver__in__from_bank__nunique__w1d,수신 계좌의 고유 송신 은행 수 (1d),,,receiver_account_id별 현재 거래 시점 이전 1d 동안 고유 From Bank 수를 집계; current/same timestamp 제외,numeric / int,개,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,은행 컬럼 신뢰성 및 계좌 fan 피처와 중복성 확인 필요,ML
ml-02,bankfan__receiver__in__from_bank__nunique__w3d,수신 계좌의 고유 송신 은행 수 (3d),,,receiver_account_id별 현재 거래 시점 이전 3d 동안 고유 From Bank 수를 집계; current/same timestamp 제외,numeric / int,개,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,은행 컬럼 신뢰성 및 계좌 fan 피처와 중복성 확인 필요,ML
ml-02,bankfan__receiver__in__from_bank__nunique__w7d,수신 계좌의 고유 송신 은행 수 (7d),,,receiver_account_id별 현재 거래 시점 이전 7d 동안 고유 From Bank 수를 집계; current/same timestamp 제외,numeric / int,개,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,은행 컬럼 신뢰성 및 계좌 fan 피처와 중복성 확인 필요,ML
ml-03,account_stats__sender__out__amount__mean__w1d,송신 계좌의 과거 outbound 금액 평균 (1d),,,계좌 role=sender/out 기준 현재 거래 시점 이전 1d 동안 amount의 mean 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 1d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__out__amount__std__w1d,송신 계좌의 과거 outbound 금액 표준편차 (1d),,,계좌 role=sender/out 기준 현재 거래 시점 이전 1d 동안 amount의 std 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 1d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__out__amount__cv__w1d,송신 계좌의 과거 outbound 금액 변동계수 (1d),,,계좌 role=sender/out 기준 현재 거래 시점 이전 1d 동안 amount의 cv 집계; current/same timestamp 제외,numeric,비율,현재 거래 시점 이전 1d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__out__amount__max__w1d,송신 계좌의 과거 outbound 금액 최대값 (1d),,,계좌 role=sender/out 기준 현재 거래 시점 이전 1d 동안 amount의 max 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 1d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__out__amount__mean__w3d,송신 계좌의 과거 outbound 금액 평균 (3d),,,계좌 role=sender/out 기준 현재 거래 시점 이전 3d 동안 amount의 mean 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 3d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__out__amount__std__w3d,송신 계좌의 과거 outbound 금액 표준편차 (3d),,,계좌 role=sender/out 기준 현재 거래 시점 이전 3d 동안 amount의 std 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 3d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__out__amount__cv__w3d,송신 계좌의 과거 outbound 금액 변동계수 (3d),,,계좌 role=sender/out 기준 현재 거래 시점 이전 3d 동안 amount의 cv 집계; current/same timestamp 제외,numeric,비율,현재 거래 시점 이전 3d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__out__amount__max__w3d,송신 계좌의 과거 outbound 금액 최대값 (3d),,,계좌 role=sender/out 기준 현재 거래 시점 이전 3d 동안 amount의 max 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 3d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__out__amount__mean__w7d,송신 계좌의 과거 outbound 금액 평균 (7d),,,계좌 role=sender/out 기준 현재 거래 시점 이전 7d 동안 amount의 mean 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 7d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__out__amount__std__w7d,송신 계좌의 과거 outbound 금액 표준편차 (7d),,,계좌 role=sender/out 기준 현재 거래 시점 이전 7d 동안 amount의 std 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 7d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__out__amount__cv__w7d,송신 계좌의 과거 outbound 금액 변동계수 (7d),,,계좌 role=sender/out 기준 현재 거래 시점 이전 7d 동안 amount의 cv 집계; current/same timestamp 제외,numeric,비율,현재 거래 시점 이전 7d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__out__amount__max__w7d,송신 계좌의 과거 outbound 금액 최대값 (7d),,,계좌 role=sender/out 기준 현재 거래 시점 이전 7d 동안 amount의 max 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 7d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__in__amount__sum__w6h,현재 송신 계좌가 과거 수신자로 받은 inbound 금액 합계 (6h),,,계좌 role=sender/in 기준 현재 거래 시점 이전 6h 동안 amount_received의 sum 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 6h,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__in__amount__mean__w6h,현재 송신 계좌가 과거 수신자로 받은 inbound 금액 평균 (6h),,,계좌 role=sender/in 기준 현재 거래 시점 이전 6h 동안 amount_received의 mean 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 6h,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__in__amount__std__w6h,현재 송신 계좌가 과거 수신자로 받은 inbound 금액 표준편차 (6h),,,계좌 role=sender/in 기준 현재 거래 시점 이전 6h 동안 amount_received의 std 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 6h,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__in__amount__cv__w6h,현재 송신 계좌가 과거 수신자로 받은 inbound 금액 변동계수 (6h),,,계좌 role=sender/in 기준 현재 거래 시점 이전 6h 동안 amount_received의 cv 집계; current/same timestamp 제외,numeric,비율,현재 거래 시점 이전 6h,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__in__amount__sum__w1d,현재 송신 계좌가 과거 수신자로 받은 inbound 금액 합계 (1d),,,계좌 role=sender/in 기준 현재 거래 시점 이전 1d 동안 amount_received의 sum 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 1d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__in__amount__mean__w1d,현재 송신 계좌가 과거 수신자로 받은 inbound 금액 평균 (1d),,,계좌 role=sender/in 기준 현재 거래 시점 이전 1d 동안 amount_received의 mean 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 1d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__in__amount__std__w1d,현재 송신 계좌가 과거 수신자로 받은 inbound 금액 표준편차 (1d),,,계좌 role=sender/in 기준 현재 거래 시점 이전 1d 동안 amount_received의 std 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 1d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__in__amount__cv__w1d,현재 송신 계좌가 과거 수신자로 받은 inbound 금액 변동계수 (1d),,,계좌 role=sender/in 기준 현재 거래 시점 이전 1d 동안 amount_received의 cv 집계; current/same timestamp 제외,numeric,비율,현재 거래 시점 이전 1d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
ml-03,account_stats__sender__in__amount__sum__w3d,현재 송신 계좌가 과거 수신자로 받은 inbound 금액 합계 (3d),,,계좌 role=sender/in 기준 현재 거래 시점 이전 3d 동안 amount_received의 sum 집계; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 3d,표본 부족 또는 이력 없음은 0 또는 결측 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-03 Stage 2 계좌별 금액 통계 후보,ML
